Frame,Processing Time
1,0.473533
2,1.34357
3,0.928008
4,0.99178
5,0.574011
6,0.416782
7,0.440956
8,0.410259
9,0.648473
10,0.457429
11,0.415101
12,0.375957
13,1.01877
14,0.657334
15,0.420243
16,0.723748
17,0.739821
18,0.893766
19,0.504423
20,0.48901
21,0.693447
22,0.731893
23,0.495235
24,0.439956
25,0.484041
26,0.3247
27,0.439233
28,0.459168
29,0.44953
30,0.448226
31,0.449539
32,0.385578
33,0.425837
34,0.47895
35,0.396405
36,0.487513
37,0.538751
38,0.410272
39,0.484574
40,0.438548
41,0.405331
42,0.331463
43,0.383081
44,0.412395
45,0.431858
46,0.354171
47,0.482799
48,0.498964
49,0.460257
50,0.323481
51,0.381697
52,0.420617
53,0.425878
54,0.359017
55,0.471659
56,0.435958
57,0.507094
58,0.350686
59,0.451416
60,0.458115
61,0.437635
62,0.386266
63,0.439659
64,0.386715
65,0.438941
66,0.432026
67,0.342775
68,0.549302
69,0.476766
70,0.395049
71,0.433128
72,0.380873
73,0.340235
74,0.238201
75,0.306397
76,0.280337
77,0.30597
78,0.266176
79,0.254615
80,0.268087
81,0.237735
82,0.422121
83,0.647317
84,0.546179
85,0.493625
86,0.465035
87,0.421783
88,0.271954
89,0.237752
90,0.302237
91,0.32465
92,0.269781
93,0.266119
94,0.256971
95,0.26915
96,0.357406
97,0.376064
98,0.307411
99,0.400557
100,0.66785
101,0.476209
102,0.514244
103,0.555217
104,0.516487
105,0.430759
106,0.624931
107,0.544873
108,0.485867
109,0.476323
110,0.42464
111,0.288662
112,0.346164
113,0.284219
114,0.303814
115,0.307064
116,0.293224
117,0.259827
118,0.290597
119,0.291846
120,0.281587
121,0.275489
122,0.291463
123,0.271053
124,0.298453
125,0.255238
126,0.442718
127,0.507202
128,0.435022
129,0.51241
130,0.385028
131,0.283887
132,0.269002
133,0.298489
134,0.271645
135,0.307222
136,0.268319
137,0.287415
138,0.286303
139,0.262906
140,0.288228
141,0.274041
142,0.284317
143,0.280549
144,0.291126
145,0.272926
146,0.275091
147,0.272361
148,0.294172
149,0.280943
150,0.299892
151,0.25115
152,0.296104
153,0.291607
154,0.265465
