Frame,Processing Time
1,0.0899488
2,0.168308
3,0.115369
4,0.105025
5,0.0972004
6,0.0921254
7,0.0892273
8,0.101427
9,0.110996
10,0.0983771
11,0.111778
12,0.109263
13,0.104447
14,0.117005
15,0.107006
16,0.100035
17,0.114133
18,0.109755
19,0.119866
20,0.118501
21,0.112537
22,0.126669
23,0.0889245
24,0.0931532
25,0.0825521
26,0.0804056
27,0.0832024
28,0.0851997
29,0.0807356
30,0.0819204
31,0.0847039
32,0.0743171
33,0.0825872
34,0.0766511
35,0.0767028
36,0.0817504
37,0.0749798
38,0.0773035
39,0.0844005
40,0.0742332
41,0.0931816
42,0.0928169
43,0.0809344
44,0.0758582
45,0.0897444
46,0.0750587
47,0.0814094
48,0.083096
49,0.0763501
50,0.0885968
51,0.0982328
52,0.0747752
53,0.0895513
54,0.0872084
55,0.0837128
56,0.0780829
57,0.0751067
58,0.0826834
59,0.0805761
60,0.0838794
61,0.0836179
62,0.0937385
63,0.0956338
64,0.0829698
65,0.0770497
66,0.0874139
67,0.0777406
68,0.0777509
69,0.0950685
70,0.0783044
71,0.0818262
72,0.07929
73,0.0766718
74,0.075991
75,0.0887941
76,0.0976671
77,0.0785104
78,0.0879469
79,0.0955787
80,0.0809211
81,0.0845907
82,0.0802661
83,0.0839148
84,0.0751162
85,0.0779878
86,0.0870183
87,0.0807148
88,0.0788784
89,0.0783838
90,0.0719581
91,0.0793596
92,0.0747535
93,0.0714027
94,0.0732614
95,0.0745174
96,0.0760116
97,0.0727501
98,0.0757221
99,0.0757973
100,0.0786094
101,0.0738538
102,0.0738129
103,0.0784836
104,0.0711199
105,0.0778119
106,0.0839057
107,0.0769265
108,0.0843358
109,0.0955103
110,0.0823545
111,0.0755286
112,0.0792797
113,0.0836143
114,0.0761342
115,0.0750996
116,0.0805553
117,0.0746156
118,0.0732179
119,0.0792602
120,0.0827285
121,0.0781265
122,0.0777727
123,0.0727126
124,0.0859352
125,0.0799915
126,0.0802251
127,0.0803747
128,0.0793154
129,0.084124
130,0.0747843
131,0.0838256
132,0.0821168
133,0.0883961
134,0.0804187
135,0.0788076
136,0.0761839
137,0.0973246
138,0.0904111
139,0.0805504
140,0.0822867
141,0.0858821
142,0.0851208
143,0.0737779
144,0.0847522
145,0.0969136
146,0.0963349
147,0.0841484
148,0.0793192
149,0.0807531
150,0.0929777
151,0.0910028
152,0.0861614
153,0.0747436
154,0.0819459
155,0.0875853
156,0.090542
157,0.0831739
158,0.0759251
159,0.0720313
160,0.0911334
161,0.0920183
162,0.0780674
163,0.0730589
164,0.0788476
165,0.0812038
166,0.0727439
167,0.0716623
168,0.0755021
169,0.0790635
170,0.0718006
171,0.0819841
172,0.0834932
173,0.0796002
174,0.076194
175,0.0751
176,0.077305
177,0.0825639
178,0.0714359
179,0.0829101
180,0.087226
181,0.0885455
182,0.0901907
183,0.0795137
184,0.0808917
185,0.0726862
186,0.079361
187,0.0869446
188,0.0765731
189,0.0797891
190,0.0724921
191,0.0730375
192,0.0833787
193,0.082965
194,0.0771202
195,0.0762288
196,0.0806273
197,0.0805011
198,0.0749729
199,0.0760964
200,0.0829055
201,0.0765357
202,0.0776016
203,0.0845932
204,0.092609
205,0.0787353
206,0.0748639
207,0.0870401
208,0.0932852
209,0.0962125
210,0.0901128
211,0.0800195
212,0.0775335
213,0.083121
214,0.0813215
215,0.0828802
216,0.0766756
217,0.0880651
218,0.0809788
219,0.0783164
220,0.0821679
221,0.0739154
222,0.0758059
223,0.0835128
224,0.0771507
225,0.078204
226,0.0821661
227,0.0774275
228,0.0816428
229,0.0831927
230,0.0752737
231,0.0814652
232,0.084066
233,0.0895254
234,0.0895302
235,0.0835899
236,0.0760767
237,0.0738911
238,0.0807152
239,0.0885649
240,0.0932573
241,0.0846275
242,0.0787338
243,0.0758483
244,0.0775514
245,0.0826313
246,0.0790199
247,0.0789146
248,0.0745963
249,0.0766497
250,0.0814986
251,0.0786326
252,0.0812512
253,0.0804305
254,0.0730209
255,0.0822287
256,0.0824869
257,0.0750493
258,0.0741635
259,0.0788575
260,0.0770241
261,0.0815599
262,0.079443
263,0.080019
264,0.0831269
265,0.0738119
266,0.0757448
267,0.0828207
268,0.07684
269,0.0772415
270,0.0857829
271,0.0750932
272,0.0820588
273,0.0741239
274,0.0786182
275,0.0856422
276,0.0738779
277,0.0804469
278,0.0771161
279,0.079984
280,0.0800236
281,0.082754
282,0.0721154
283,0.0782399
284,0.086528
285,0.0753948
286,0.085703
287,0.0769055
288,0.0734429
289,0.0816727
290,0.0795644
291,0.0788351
292,0.0814184
293,0.0783094
294,0.0814723
295,0.0788855
296,0.0784166
297,0.0834479
298,0.0746754
299,0.0807528
300,0.083792
301,0.0770065
302,0.0757157
303,0.0829745
304,0.0752738
305,0.0814143
306,0.0817666
307,0.0726613
308,0.081158
309,0.0834553
310,0.0748143
311,0.0815581
312,0.0775356
313,0.0819797
314,0.0839264
315,0.0732401
316,0.0782164
317,0.0756705
318,0.0781445
319,0.0774409
320,0.0856965
321,0.0777004
322,0.0756098
323,0.084835
324,0.0777194
325,0.0858587
326,0.0752111
327,0.0754972
328,0.0850707
329,0.074355
330,0.077056
331,0.0829092
332,0.0767452
333,0.0790535
334,0.0839419
335,0.0789386
336,0.0808008
337,0.0778598
338,0.0773054
339,0.0839787
340,0.0738825
341,0.078681
342,0.0817345
343,0.0743869
344,0.0767648
345,0.080565
346,0.0751785
347,0.0798336
348,0.0815818
349,0.0822058
350,0.079208
351,0.0758096
352,0.0724784
353,0.0795409
354,0.0819216
355,0.0785166
356,0.078845
357,0.0776875
358,0.0766271
359,0.0805439
360,0.0773587
361,0.0791318
362,0.083346
363,0.0722382
364,0.0757088
365,0.081799
366,0.0746011
367,0.0810992
368,0.0803424
369,0.0781871
370,0.0784185
371,0.0817819
372,0.0787535
373,0.0827976
374,0.0727273
375,0.079009
376,0.0839954
377,0.0734941
378,0.0803073
379,0.0812882
380,0.0777652
381,0.0836522
382,0.0768352
383,0.0809275
384,0.0786524
385,0.0747852
386,0.0795277
387,0.0816236
388,0.0783421
389,0.081728
390,0.0762284
391,0.0811861
392,0.0813491
393,0.0758795
394,0.0795989
395,0.0822402
396,0.0779388
397,0.0842768
398,0.0762417
399,0.0765694
400,0.0836521
401,0.0736959
402,0.0770836
403,0.0798071
404,0.0759212
405,0.0760223
406,0.0813395
407,0.0740819
408,0.0781822
409,0.0825627
410,0.0749253
411,0.0801651
412,0.0806251
413,0.07977
414,0.0825873
415,0.073265
416,0.0771895
417,0.080373
418,0.0771257
419,0.0807951
420,0.0827525
421,0.0759745
422,0.0818613
423,0.0812247
424,0.0801691
