Frame,Processing Time
1,0.100248
2,0.107042
3,0.102517
4,0.120216
5,0.102384
6,0.104017
7,0.11476
8,0.103539
9,0.121649
10,0.118637
11,0.102262
12,0.101875
13,0.092282
14,0.0819744
15,0.0676802
16,0.130201
17,0.0926006
18,0.130629
19,0.100278
20,0.139989
21,0.107991
22,0.0853546
23,0.0845145
24,0.0926349
25,0.0803576
26,0.0804729
27,0.0724203
28,0.0746452
29,0.068943
30,0.0732158
31,0.0808993
32,0.0822493
33,0.0734975
34,0.0705164
35,0.0708602
36,0.0689055
37,0.0775928
38,0.0687117
39,0.0746357
40,0.0750771
41,0.0744393
42,0.0817171
43,0.0739901
44,0.0757256
45,0.0721557
46,0.0707093
47,0.0714835
48,0.0735164
49,0.0705463
50,0.0712805
51,0.0704309
52,0.0718909
53,0.0688264
54,0.0757227
55,0.0793923
56,0.0740728
57,0.0667851
58,0.0719656
59,0.0705161
60,0.0718973
61,0.0673617
62,0.0726957
63,0.0670805
64,0.0729048
65,0.0717569
66,0.0650597
67,0.0731935
68,0.0730218
69,0.0745932
70,0.0733193
71,0.0716336
72,0.0731399
73,0.0740191
74,0.0678633
75,0.0727789
76,0.0653738
77,0.0652162
78,0.0651708
79,0.0677116
80,0.0658475
81,0.0662875
82,0.0689557
83,0.0667102
84,0.0725779
85,0.071182
86,0.068046
87,0.0687072
88,0.0734994
89,0.0650314
90,0.0649704
91,0.0668082
92,0.0673598
93,0.0721706
94,0.0726065
95,0.0655754
96,0.0719578
97,0.0650575
98,0.0653719
99,0.0655272
100,0.0708962
101,0.0683788
102,0.0685834
103,0.06715
104,0.0732408
105,0.0669045
106,0.0690149
107,0.0651562
108,0.0677518
109,0.0695749
110,0.0701945
111,0.0714472
112,0.0728117
113,0.0746611
114,0.0736379
115,0.0745057
116,0.0838258
117,0.082482
118,0.0766604
119,0.0743737
120,0.072151
121,0.074929
122,0.0736257
123,0.0722261
124,0.0727561
125,0.0740228
126,0.0773543
127,0.0802568
128,0.0780548
129,0.0731769
130,0.0744235
131,0.0687822
132,0.0706601
133,0.0728641
134,0.0818631
135,0.078097
136,0.0763408
137,0.0685045
138,0.0799384
139,0.0682072
140,0.069428
141,0.0714884
142,0.0818067
143,0.0805279
144,0.0788911
145,0.0694209
146,0.0691391
147,0.0683792
148,0.0691959
149,0.071895
150,0.0717524
151,0.0767796
152,0.0725439
153,0.0725912
154,0.0708774
155,0.07539
156,0.0760586
157,0.0698219
158,0.0730355
159,0.0725481
160,0.0711047
161,0.0792136
162,0.0719067
163,0.0774864
164,0.077978
165,0.0692698
166,0.0740967
167,0.0789384
168,0.072719
169,0.0804406
170,0.0878779
171,0.0719825
172,0.0717835
173,0.0776365
174,0.0711729
175,0.0854642
176,0.0724
177,0.0796488
178,0.0707871
179,0.0840729
180,0.0702685
181,0.0883479
182,0.0720645
183,0.0830525
184,0.0742168
185,0.0830352
186,0.0775628
187,0.0887634
188,0.0713224
189,0.0713676
190,0.0696243
191,0.0813503
192,0.0672806
193,0.076491
194,0.0677208
195,0.0798821
196,0.067172
197,0.0793269
198,0.0782056
199,0.0805363
200,0.0698228
201,0.0733022
202,0.0807903
203,0.0786412
204,0.0739091
205,0.0709681
206,0.0819745
207,0.0700538
208,0.0779187
209,0.0683175
210,0.0700716
211,0.0720852
212,0.0758089
213,0.0693651
214,0.069468
215,0.070847
216,0.0700159
217,0.0782135
218,0.0740053
219,0.0719578
220,0.0790861
221,0.0692649
222,0.0799595
223,0.0701027
224,0.0724365
225,0.07093
226,0.0826262
227,0.0707964
228,0.0684461
229,0.0733577
230,0.0696286
231,0.0842288
232,0.0726995
233,0.0690895
234,0.0673665
235,0.0731277
236,0.0654573
237,0.0774963
238,0.0702718
239,0.0805105
240,0.069379
241,0.081732
242,0.0753666
243,0.0832574
244,0.067654
245,0.0865284
246,0.0762143
247,0.0752
248,0.0828161
249,0.0771089
250,0.0829861
251,0.06934
252,0.0693578
253,0.0720504
254,0.0674853
255,0.0805126
256,0.0678702
257,0.06989
258,0.0772482
259,0.0756129
260,0.0729984
261,0.0750828
262,0.0725707
263,0.0681661
264,0.0753469
265,0.0662693
266,0.0768251
267,0.0757538
268,0.0788877
269,0.0707394
270,0.0825751
271,0.0681196
272,0.0873039
273,0.0758589
274,0.0873505
275,0.0726894
276,0.0734002
277,0.0674381
278,0.0678577
279,0.0747239
280,0.0707466
281,0.0659344
282,0.0721557
283,0.0649256
284,0.0694489
285,0.066631
286,0.0650494
287,0.0649246
288,0.0728673
289,0.066224
290,0.0799418
291,0.0709952
292,0.0733294
293,0.0722715
294,0.0783303
295,0.0668762
296,0.0717929
297,0.0668365
298,0.0999165
299,0.0667793
300,0.0779308
301,0.0698019
302,0.0750834
303,0.0648737
304,0.0783501
305,0.0737126
306,0.0731583
307,0.0728444
308,0.0800219
309,0.067385
310,0.0789172
311,0.0729004
312,0.0709954
313,0.0650268
314,0.0790837
315,0.0656574
316,0.0799999
317,0.0634527
318,0.0794426
319,0.0677733
320,0.0820068
321,0.0687878
322,0.0816602
323,0.0735298
324,0.0755004
325,0.0655358
326,0.0837456
327,0.0756699
328,0.0748487
329,0.0684974
330,0.0808986
331,0.0651129
332,0.0767738
333,0.0656247
334,0.0795494
335,0.0722205
336,0.0778803
337,0.0689673
338,0.0763425
339,0.0693688
340,0.0685679
341,0.0761683
342,0.0655271
343,0.082549
344,0.0684198
345,0.0671945
346,0.083323
347,0.0808907
348,0.0803318
349,0.0782153
350,0.0810985
351,0.0768342
352,0.0729069
353,0.0863985
354,0.0759165
355,0.0849197
356,0.0690053
357,0.0754322
358,0.0819082
359,0.0876186
360,0.0696733
361,0.0937003
362,0.0726571
363,0.0943283
364,0.083059
365,0.0692207
366,0.0729295
367,0.0779713
368,0.0765069
369,0.0748185
370,0.0793929
371,0.0982876
372,0.0752595
373,0.08472
