Frame,Processing time
1,0.0202678
2,0.0205124
3,0.0209251
4,0.0209726
5,0.0211572
6,0.021196
7,0.0212435
8,0.0213154
9,0.0213354
10,0.0214391
11,0.0215152
12,0.0215362
13,0.0215768
14,0.0216241
15,0.0216703
16,0.0216914
17,0.0219842
18,0.0219934
19,0.0220022
20,0.0222055
21,0.0224595
22,0.0224785
23,0.0224973
24,0.0225352
25,0.0225784
26,0.0226692
27,0.0227499
28,0.0227543
29,0.0229338
30,0.0229689
31,0.0230333
32,0.0232168
33,0.0232219
34,0.0232359
35,0.0232363
36,0.0232735
37,0.0233039
38,0.0233813
39,0.0234286
40,0.0234874
41,0.0235489
42,0.0235632
43,0.0235667
44,0.0236874
45,0.0237795
46,0.0237829
47,0.0237863
48,0.0238668
49,0.0241133
50,0.0241768
51,0.0242103
52,0.0243233
53,0.0243598
54,0.0243697
55,0.0244219
56,0.0246089
57,0.0246965
58,0.0246974
59,0.0247625
60,0.0247686
61,0.0247713
62,0.0247832
63,0.0249092
64,0.0249187
65,0.0249674
66,0.0250499
67,0.0251038
68,0.0251218
69,0.0251554
70,0.0251611
71,0.0251802
72,0.0252143
73,0.0253253
74,0.0255073
75,0.0255149
76,0.0255987
77,0.0257001
78,0.0257115
79,0.0257324
80,0.0257941
81,0.0258257
82,0.0258867
83,0.0259315
84,0.0259412
85,0.0259881
86,0.0259995
87,0.0260111
88,0.0260232
89,0.0260507
90,0.0260889
91,0.0260921
92,0.0261263
93,0.0261799
94,0.0261815
95,0.0262255
96,0.0262553
97,0.0262768
98,0.0264143
99,0.0264214
100,0.0264218
101,0.0264234
102,0.0264329
103,0.0264401
104,0.0264406
105,0.0265134
106,0.0266314
107,0.0266429
108,0.0266497
109,0.0266561
110,0.0266757
111,0.0266768
112,0.0266964
113,0.0267228
114,0.0267305
115,0.0268045
116,0.0268265
117,0.0268848
118,0.0269029
119,0.0269108
120,0.0269416
121,0.0269679
122,0.026985
123,0.0269895
124,0.0270371
125,0.0270547
126,0.0271556
127,0.0271901
128,0.0271916
129,0.0272067
130,0.0272137
131,0.0272538
132,0.0273181
133,0.0273183
134,0.0273193
135,0.0273547
136,0.0274019
137,0.02746
138,0.0274951
139,0.0275057
140,0.0275154
141,0.027533
142,0.0275538
143,0.0275732
144,0.027622
145,0.0276435
146,0.027655
147,0.0276799
148,0.0277049
149,0.0277239
150,0.02776
151,0.0277752
152,0.0277844
153,0.0278127
154,0.0278255
155,0.027827
156,0.0278322
157,0.0278406
158,0.0278901
159,0.0278904
160,0.0279376
161,0.0279513
162,0.0279549
163,0.0279727
164,0.0279739
165,0.0279779
166,0.0280253
167,0.0280257
168,0.0280654
169,0.0280682
170,0.0280699
171,0.0280837
172,0.0280933
173,0.028114
174,0.0281598
175,0.0282592
176,0.0282842
177,0.0282906
178,0.0282977
179,0.0283131
180,0.0283531
181,0.0283979
182,0.0283998
183,0.0284301
184,0.0284335
185,0.0284378
186,0.0284523
187,0.0284658
188,0.0284849
189,0.0284951
190,0.0285006
191,0.0285021
192,0.0285047
193,0.0285369
194,0.0285756
195,0.0285825
196,0.028584
197,0.0285866
198,0.0286117
199,0.0286459
200,0.0286755
201,0.0286829
202,0.0286831
203,0.0286911
204,0.0286914
205,0.0286995
206,0.0287223
207,0.0287312
208,0.0287468
209,0.0287574
210,0.0287703
211,0.0287706
212,0.0287777
213,0.0287982
214,0.0288357
215,0.028857
216,0.0288787
217,0.0288868
218,0.0288934
219,0.0288959
220,0.0289281
221,0.0289363
222,0.0289485
223,0.0289543
224,0.0289628
225,0.0289636
226,0.0289861
227,0.0290006
228,0.0290192
229,0.0290269
230,0.0290394
231,0.0290398
232,0.0290407
233,0.0290442
234,0.0290753
235,0.0291111
236,0.0291429
237,0.0291623
238,0.0291822
239,0.0291835
240,0.029204
241,0.0292412
242,0.029274
243,0.0292807
244,0.0293118
245,0.0293126
246,0.0293403
247,0.0293539
248,0.0293618
249,0.0293704
250,0.029374
251,0.0293959
252,0.0294318
253,0.0294336
254,0.0294434
255,0.0294719
256,0.0294723
257,0.0294787
258,0.0294995
259,0.0295027
260,0.0295105
261,0.029512
262,0.0295445
263,0.0295561
264,0.0295755
265,0.0295909
266,0.0295946
267,0.0296083
268,0.0296104
269,0.0296208
270,0.0296255
271,0.0296345
272,0.0296356
273,0.0296567
274,0.0296734
275,0.0296785
276,0.0297088
277,0.029725
278,0.0297302
279,0.0297486
280,0.029761
281,0.0297626
282,0.0297705
283,0.0297847
284,0.0298222
285,0.02985
286,0.0298585
287,0.029867
288,0.0298755
289,0.0298836
290,0.0299082
291,0.0299433
292,0.0299542
293,0.0299565
294,0.0299903
295,0.0299924
296,0.0299951
297,0.0300105
298,0.0300144
299,0.0300154
300,0.0300177
301,0.0300186
302,0.0300192
303,0.0300492
304,0.0300627
305,0.0300938
306,0.0301045
307,0.0301049
308,0.0301094
309,0.0301207
310,0.0301404
311,0.0301493
312,0.0301663
313,0.0301666
314,0.0301759
315,0.0301792
316,0.0301815
317,0.0302053
318,0.0302088
