Frame,Processing time
1,0.0169321
2,0.0177045
3,0.0177078
4,0.0179171
5,0.0182833
6,0.0182886
7,0.0185276
8,0.0186331
9,0.0186638
10,0.01867
11,0.0187343
12,0.0188184
13,0.0188325
14,0.0189661
15,0.0192555
16,0.0192936
17,0.0192951
18,0.0193726
19,0.0194703
20,0.0194789
21,0.0196065
22,0.0196517
23,0.0196849
24,0.0197332
25,0.0197606
26,0.0198295
27,0.0198368
28,0.0198841
29,0.0199314
30,0.0199407
31,0.0199589
32,0.0199624
33,0.0199835
34,0.0200217
35,0.0200833
36,0.0200862
37,0.0201034
38,0.020111
39,0.0201453
40,0.0201538
41,0.0201741
42,0.0202315
43,0.0202418
44,0.0202597
45,0.0202738
46,0.0203177
47,0.0203412
48,0.0203417
49,0.0203448
50,0.0203675
51,0.0203675
52,0.0203842
53,0.0204642
54,0.0204707
55,0.0204756
56,0.0205134
57,0.0205174
58,0.0205468
59,0.0205839
60,0.0206015
61,0.0206057
62,0.0206208
63,0.0206598
64,0.0206658
65,0.020666
66,0.0207014
67,0.0207094
68,0.0207198
69,0.0207293
70,0.0207385
71,0.0207615
72,0.0207714
73,0.0207757
74,0.0207824
75,0.0208221
76,0.0208231
77,0.0208243
78,0.0208257
79,0.0208552
80,0.0208964
81,0.0209291
82,0.0209398
83,0.0209473
84,0.0209566
85,0.0209643
86,0.0209746
87,0.0209757
88,0.0209786
89,0.0209832
90,0.0209907
91,0.0209922
92,0.0209985
93,0.0210317
94,0.0210702
95,0.0211077
96,0.0211278
97,0.0211511
98,0.0211776
99,0.0211782
100,0.0211888
101,0.0212026
102,0.0212456
103,0.0212518
104,0.0212574
105,0.0212611
106,0.0212934
107,0.0213246
108,0.0213345
109,0.0213581
110,0.0213684
111,0.0213745
112,0.0213843
113,0.0213992
114,0.021435
115,0.0214688
116,0.0214894
117,0.0215021
118,0.0215113
119,0.0215306
120,0.0215378
121,0.0215509
122,0.0215598
123,0.0215615
124,0.0215731
125,0.0215774
126,0.0215821
127,0.021588
128,0.021594
129,0.0216006
130,0.0216333
131,0.0216379
132,0.0216438
133,0.0216673
134,0.021682
135,0.0216875
136,0.0216913
137,0.0216915
138,0.0217099
139,0.0217262
140,0.0217456
141,0.021765
142,0.0217819
143,0.0217912
144,0.0217927
145,0.0218056
146,0.0218159
147,0.0218279
148,0.021843
149,0.021855
150,0.0218569
151,0.0218571
152,0.0218573
153,0.0218605
154,0.021899
155,0.0218994
156,0.0219028
157,0.0219085
158,0.0219145
159,0.0219455
160,0.0219509
161,0.0219688
162,0.0219705
163,0.0219797
164,0.0219822
165,0.0219972
166,0.0220101
167,0.0220103
168,0.0220109
169,0.0220282
170,0.0220404
171,0.0220548
172,0.0220614
173,0.0220963
174,0.0221029
175,0.022122
176,0.0221266
177,0.0221494
178,0.0221731
179,0.0221792
180,0.0221975
181,0.0222197
182,0.0222208
183,0.0222209
184,0.0222234
185,0.0222289
186,0.0222298
187,0.0222464
188,0.0222523
189,0.0222573
190,0.0222704
191,0.0222792
192,0.0222807
193,0.0222982
194,0.0223074
195,0.02231
196,0.0223226
197,0.0223346
198,0.0223556
199,0.0223662
200,0.0223907
201,0.0223942
202,0.0224035
203,0.0224194
204,0.0224201
205,0.0224259
206,0.0224272
207,0.0224629
208,0.022475
209,0.0224798
210,0.0224876
211,0.0224882
212,0.0224947
213,0.0225008
214,0.0225034
215,0.0225181
216,0.0225218
217,0.022537
218,0.0225445
219,0.0225488
220,0.022551
221,0.0225606
222,0.0225632
223,0.0225718
224,0.0225784
225,0.0225968
226,0.022597
227,0.0226109
228,0.0226135
229,0.0226357
230,0.022658
231,0.0226607
232,0.0226734
233,0.022674
234,0.0226753
235,0.0226766
236,0.0226795
237,0.022683
238,0.0226838
239,0.0226846
240,0.0227012
241,0.0227106
242,0.0227159
243,0.0227179
244,0.0227296
245,0.022733
246,0.0227612
247,0.0227625
248,0.0227626
249,0.0227638
250,0.0227753
251,0.0227824
252,0.0227846
253,0.0228037
254,0.0228363
255,0.0228451
256,0.0228772
257,0.0228897
258,0.0229257
259,0.0229445
260,0.0229613
261,0.0229614
262,0.0229898
263,0.0229947
264,0.0229998
265,0.0230114
266,0.0230137
267,0.023016
268,0.0230198
269,0.0230257
270,0.0230386
271,0.0230509
272,0.0230556
273,0.0230559
274,0.0230596
275,0.0230689
276,0.0230694
277,0.0230976
278,0.0231031
279,0.0231118
280,0.0231442
281,0.0231513
282,0.0231534
283,0.0231713
284,0.0231993
285,0.0232022
286,0.0232166
287,0.0232168
288,0.0232184
289,0.0232246
290,0.0232334
291,0.0232597
292,0.0232757
293,0.0232809
294,0.023283
295,0.0232853
296,0.0233041
297,0.0233128
298,0.0233398
299,0.0233437
300,0.0233454
301,0.0233534
302,0.023354
303,0.0233565
304,0.0233691
305,0.0233694
306,0.0233801
307,0.0233892
308,0.0233965
309,0.0233998
310,0.0234012
311,0.0234073
312,0.0234076
313,0.0234178
314,0.0234202
315,0.0234248
316,0.0234313
317,0.0234391
318,0.0234457
319,0.0234827
320,0.0234833
321,0.0234925
322,0.023494
323,0.0234952
324,0.0234959
325,0.0235022
326,0.0235024
327,0.0235059
328,0.0235069
329,0.0235082
330,0.0235112
331,0.0235208
332,0.0235319
333,0.0235429
334,0.0235439
335,0.023546
336,0.0235471
337,0.0235501
338,0.0235551
339,0.0235557
340,0.023567
341,0.0235679
342,0.0235688
343,0.0235968
344,0.0236049
345,0.0236075
346,0.023614
347,0.0236166
348,0.0236189
349,0.0236272
350,0.0236336
351,0.0236432
352,0.0236541
353,0.0236571
354,0.0236659
355,0.0236746
356,0.0236838
357,0.0236875
358,0.023702
359,0.0237176
360,0.0237183
361,0.0237233
362,0.0237251
363,0.0237271
364,0.0237343
365,0.0237358
366,0.0237441
367,0.0237457
368,0.0237558
369,0.0237642
370,0.0237671
371,0.0237706
372,0.0237799
373,0.0237855
374,0.0237905
375,0.0238316
376,0.0238365
377,0.0238371
378,0.0238602
379,0.02388
380,0.0238806
381,0.0238823
382,0.0238829
383,0.0238883
384,0.0238909
385,0.0238962
386,0.023908
387,0.0239085
388,0.0239121
389,0.0239155
390,0.023917
391,0.0239325
392,0.023941
393,0.0239421
394,0.0239432
395,0.023946
396,0.0239498
397,0.0239568
398,0.0239601
399,0.0239655
400,0.0239732
401,0.0239742
402,0.0240046
403,0.0240063
404,0.0240098
405,0.0240147
406,0.0240172
407,0.024027
408,0.0240272
409,0.0240412
410,0.0240415
411,0.0240459
412,0.0240462
413,0.0240558
414,0.0240632
415,0.0240633
416,0.0240684
417,0.0240685
418,0.024071
419,0.024075
420,0.0240894
421,0.0240909
422,0.0240968
423,0.0241008
424,0.0241026
425,0.0241213
426,0.0241225
427,0.024123
428,0.0241368
429,0.0241374
430,0.0241727
431,0.0241842
432,0.0241866
433,0.0241872
434,0.0241877
435,0.024194
436,0.024204
437,0.0242092
438,0.0242153
439,0.0242304
440,0.0242338
441,0.024235
442,0.0242385
443,0.0242511
444,0.0242518
445,0.0242672
446,0.0242705
447,0.0242745
448,0.0242876
