Frame,Processing time
1,0.048552
2,0.0496826
3,0.0499703
4,0.0503029
5,0.0506788
6,0.0514004
7,0.0515133
8,0.0515299
9,0.0521894
10,0.0524008
11,0.0524332
12,0.0524549
13,0.0526102
14,0.0527949
15,0.052871
16,0.0529661
17,0.0530031
18,0.0532515
19,0.0532826
20,0.0538239
21,0.0550317
22,0.0551903
23,0.0552504
24,0.0552607
25,0.0553165
26,0.0554852
27,0.0555786
28,0.0557571
29,0.0558548
30,0.0559636
31,0.0561154
32,0.0562411
33,0.0562982
34,0.0563153
35,0.0564782
36,0.0566014
37,0.0566546
38,0.0568357
39,0.0568936
40,0.0569425
41,0.0570645
42,0.0571919
43,0.0573543
44,0.0573875
45,0.0574379
46,0.0576425
47,0.0576679
48,0.0577697
49,0.0578628
50,0.0579025
51,0.0580122
52,0.0582427
53,0.0582711
54,0.0582984
55,0.0583388
56,0.058466
57,0.0584792
58,0.0585414
59,0.0585843
60,0.0586361
61,0.0587008
62,0.0587614
63,0.0589505
64,0.0589528
65,0.0590123
66,0.0590192
67,0.0590345
68,0.0590525
69,0.0590676
70,0.059088
71,0.0590892
72,0.0591609
73,0.0592869
74,0.0593112
75,0.05936
76,0.05949
77,0.0596434
78,0.0597165
79,0.0597231
80,0.0597839
81,0.0597935
82,0.0598523
83,0.0598711
84,0.0598896
85,0.0599761
86,0.0599818
87,0.0600635
88,0.0601123
89,0.0601193
90,0.0601939
91,0.0602287
92,0.0603278
93,0.0603432
94,0.0604109
95,0.0604242
96,0.0604378
97,0.060439
98,0.0604457
99,0.0604814
100,0.0605206
101,0.0605821
102,0.0607203
103,0.0607796
104,0.0609043
105,0.0609277
106,0.0609571
107,0.0609772
108,0.0609961
109,0.0610064
110,0.0610079
111,0.0610156
112,0.0610366
113,0.0610921
114,0.0610962
115,0.061148
116,0.0611585
117,0.061289
118,0.0613418
119,0.0613575
120,0.0613634
121,0.0613977
122,0.0613998
123,0.0614689
124,0.0614819
125,0.0615256
126,0.0615754
127,0.0615892
128,0.061592
129,0.0616153
130,0.0616768
131,0.0617111
132,0.0617128
133,0.0617213
134,0.0617856
135,0.0619234
136,0.0620225
137,0.0620571
138,0.0620746
139,0.0620775
140,0.0622062
141,0.0622212
142,0.0622922
143,0.0622932
144,0.0623172
145,0.0623248
146,0.0623293
147,0.0623453
148,0.0623468
149,0.0623758
150,0.0624653
151,0.0624922
152,0.0625415
153,0.0625663
154,0.0625977
155,0.0626057
156,0.0626062
157,0.0626576
158,0.0626768
159,0.0627425
160,0.0627988
161,0.062889
162,0.0629046
163,0.0630214
164,0.063109
165,0.0631184
166,0.0631344
167,0.0631688
168,0.0632035
169,0.06323
170,0.0632575
171,0.0633107
172,0.06335
173,0.0633768
174,0.0633775
175,0.0633828
176,0.0633929
177,0.0634068
178,0.0634228
179,0.0634903
180,0.0634977
181,0.0635063
182,0.0635135
183,0.0635245
184,0.0635287
185,0.0635295
186,0.0635931
187,0.0636325
188,0.0637137
189,0.0637358
190,0.0637663
191,0.0637738
192,0.0637941
193,0.0638957
194,0.0639425
195,0.0639587
196,0.0639655
197,0.0639681
198,0.0639825
199,0.0640199
200,0.0641368
201,0.0641555
202,0.0641648
203,0.0642151
204,0.0642252
205,0.064269
206,0.0644311
207,0.0644423
208,0.0644957
209,0.0645659
210,0.0645709
211,0.0646039
212,0.0646332
213,0.0646896
214,0.064701
215,0.0647548
216,0.0647837
217,0.0648032
218,0.0648846
219,0.0649241
220,0.0649531
221,0.0651345
222,0.0651488
223,0.0651505
224,0.0651522
225,0.0651653
226,0.0651952
227,0.0652215
228,0.0652441
229,0.0652637
230,0.0652677
231,0.0652748
232,0.0652965
233,0.0653103
234,0.0653475
235,0.0653923
236,0.0653964
237,0.0654289
238,0.0654348
239,0.0654673
240,0.0655019
241,0.065524
242,0.0655304
243,0.0655914
244,0.0656053
245,0.06561
246,0.0656288
247,0.06571
248,0.0657296
249,0.06573
250,0.0657405
251,0.0657678
252,0.065778
253,0.0657899
254,0.065799
255,0.0658098
256,0.065819
257,0.0658294
258,0.0658344
259,0.0658495
260,0.0658631
261,0.0658832
262,0.0659134
263,0.0659991
264,0.0659993
265,0.0660564
266,0.0661358
267,0.066146
268,0.0661528
269,0.0662154
270,0.0662452
271,0.066249
272,0.0662528
273,0.0662606
274,0.066266
275,0.0662663
276,0.0662777
277,0.0662779
278,0.0662803
279,0.0662963
280,0.0662991
281,0.0663032
282,0.0663388
283,0.0663926
284,0.066455
285,0.066458
286,0.0664731
287,0.0665492
288,0.0665497
289,0.0665518
290,0.0665528
291,0.0665747
292,0.0666301
293,0.0666561
294,0.0666609
295,0.0666948
296,0.0667001
297,0.0667043
298,0.0667222
299,0.066757
300,0.0667866
301,0.0668385
302,0.0668687
303,0.0669171
