Frame,Processing time
1,0.024909
2,0.026221
3,0.0263062
4,0.026363
5,0.0264282
6,0.0264682
7,0.0266241
8,0.0268421
9,0.0269366
10,0.0271017
11,0.0271447
12,0.0274939
13,0.0276586
14,0.0277481
15,0.0278882
16,0.0279673
17,0.0280915
18,0.028195
19,0.0281981
20,0.0284944
21,0.0286549
22,0.0288248
23,0.0289186
24,0.028925
25,0.0289672
26,0.0290659
27,0.0291351
28,0.0291943
29,0.0292779
30,0.0292946
31,0.0293144
32,0.0293301
33,0.0293335
34,0.0293436
35,0.0293701
36,0.0294707
37,0.0295555
38,0.0295791
39,0.0296841
40,0.0297177
41,0.029743
42,0.0298812
43,0.0299018
44,0.0299283
45,0.0299356
46,0.0300329
47,0.0300617
48,0.0300702
49,0.0302481
50,0.0302991
51,0.0303044
52,0.0303175
53,0.0303506
54,0.0304509
55,0.0304625
56,0.030464
57,0.0304712
58,0.030485
59,0.0305533
60,0.0305681
61,0.0305687
62,0.0305891
63,0.0306275
64,0.030631
65,0.0306336
66,0.0306866
67,0.0307032
68,0.0307264
69,0.0307474
70,0.0307475
71,0.0307613
72,0.030774
73,0.0307959
74,0.0308847
75,0.0309101
76,0.0309568
77,0.0310149
78,0.0310166
79,0.0310212
80,0.031047
81,0.0310866
82,0.031112
83,0.0311371
84,0.0311661
85,0.0311693
86,0.0312306
87,0.031242
88,0.0313323
89,0.0313699
90,0.0314691
91,0.0314993
92,0.0315184
93,0.0315752
94,0.0315856
95,0.0316049
96,0.0316693
97,0.0317866
98,0.0317949
99,0.0318348
100,0.0319397
101,0.0320122
102,0.0320237
103,0.0320716
104,0.0320876
105,0.0321145
106,0.0321511
107,0.032192
108,0.032249
109,0.0323288
110,0.0323768
111,0.0324135
112,0.0324567
113,0.0324755
114,0.0326306
115,0.0326312
116,0.0326909
117,0.0327924
118,0.0328174
119,0.0329077
120,0.0330074
121,0.0330237
122,0.0330794
123,0.033129
124,0.0331845
125,0.0331895
126,0.0332092
127,0.0333041
128,0.0333596
129,0.0333607
130,0.0333774
131,0.0333785
132,0.0334034
133,0.03341
134,0.0334766
135,0.03361
136,0.0336137
137,0.0336697
138,0.0336729
139,0.0337249
140,0.0338208
141,0.0338672
142,0.0338794
143,0.0340224
144,0.0340329
145,0.0340839
146,0.0341333
147,0.0342447
148,0.0342583
149,0.0342659
150,0.0342717
151,0.034312
152,0.0343323
153,0.0343658
154,0.0343676
155,0.0343784
156,0.0343855
157,0.0343861
158,0.0344182
159,0.0344528
160,0.0344784
161,0.0344832
162,0.0345617
163,0.0345812
164,0.0346077
165,0.0346509
166,0.0347819
167,0.0348085
168,0.0348224
169,0.0348943
170,0.0349126
171,0.0349244
172,0.0349938
173,0.0350188
174,0.035025
175,0.0350456
176,0.0350586
177,0.0351021
178,0.035112
179,0.0351192
180,0.0351544
181,0.0351908
182,0.0352412
183,0.0353054
184,0.0353318
185,0.0353824
186,0.0354314
187,0.035507
188,0.0355383
189,0.0355582
190,0.0356024
191,0.0356583
192,0.0356604
193,0.0356608
194,0.0356745
195,0.035686
196,0.0357231
197,0.0357502
198,0.0357883
199,0.0357958
200,0.035933
201,0.0359618
202,0.0359721
203,0.0359862
204,0.0359893
205,0.0360014
206,0.036023
207,0.0360245
208,0.0360316
209,0.0360462
210,0.0360806
211,0.0361137
212,0.0361687
213,0.0361818
214,0.0362519
215,0.036273
216,0.0362788
217,0.036329
218,0.0363552
219,0.036384
220,0.0364277
221,0.0364279
222,0.0364932
223,0.0365224
224,0.036539
225,0.0365545
226,0.0366321
227,0.0366817
228,0.0367165
229,0.0367181
230,0.0367253
231,0.0367408
232,0.0367485
233,0.036758
234,0.0367832
235,0.0367872
236,0.0368129
237,0.0368472
238,0.036864
239,0.0369047
240,0.0369506
241,0.0369683
242,0.0370325
243,0.0370446
244,0.0371519
245,0.037157
246,0.0371662
247,0.0371926
248,0.0372341
249,0.0372422
250,0.0372491
251,0.037259
252,0.0373841
253,0.0374243
254,0.0374298
255,0.0374569
256,0.0375036
257,0.0375318
258,0.0375423
259,0.037587
260,0.037587
261,0.0375979
262,0.037603
263,0.0376242
264,0.037628
265,0.037675
266,0.0377191
267,0.037758
268,0.0377643
269,0.0377715
270,0.0377782
271,0.0377785
272,0.0378803
273,0.0379056
274,0.0379369
275,0.0379517
276,0.0379589
277,0.0380421
278,0.0380449
279,0.0380482
280,0.0381169
281,0.0381529
282,0.0381785
283,0.038189
284,0.0382674
285,0.0383268
286,0.0383838
287,0.0383901
288,0.0384126
289,0.038432
290,0.0384362
291,0.0384563
292,0.0384598
293,0.0384641
294,0.0385249
295,0.038533
296,0.038553
297,0.0385778
298,0.0385845
299,0.0385928
300,0.0386231
301,0.0386327
302,0.0386559
303,0.0386599
304,0.0387005
305,0.0387074
306,0.038733
307,0.0387728
308,0.0388122
309,0.0388159
310,0.0388348
311,0.0388358
312,0.0388542
313,0.0388716
314,0.0388892
315,0.0389085
316,0.0389634
317,0.038982
318,0.0390155
319,0.0390325
320,0.0390643
321,0.03907
322,0.0390964
323,0.0391042
324,0.0391453
325,0.0391653
326,0.0391673
327,0.0391878
328,0.0391899
329,0.0392017
330,0.0392049
331,0.0392625
332,0.0392741
333,0.0393116
334,0.0393318
335,0.0393326
336,0.0393381
337,0.039356
338,0.0393799
339,0.039392
340,0.0394182
341,0.0394266
342,0.0394312
343,0.0394318
344,0.0394341
345,0.0394461
346,0.0394634
347,0.0395198
348,0.0395661
349,0.0395825
350,0.0396013
351,0.0396519
352,0.0397234
353,0.0397316
354,0.0397437
355,0.0397844
356,0.0397875
357,0.0398083
358,0.0398094
359,0.0398824
360,0.0398896
361,0.0398946
362,0.0399139
363,0.0399508
364,0.0399633
365,0.0399829
366,0.0400146
367,0.0400715
368,0.0401075
369,0.0401167
370,0.0401602
371,0.040161
372,0.0401615
373,0.0401908
374,0.0402205
375,0.0402538
376,0.0402639
377,0.0402658
378,0.0402677
379,0.0402684
380,0.0403959
381,0.0404244
382,0.0404255
383,0.0404755
384,0.0405086
385,0.0405199
386,0.0405249
387,0.0405291
388,0.0405556
389,0.0405686
390,0.04058
391,0.0405844
392,0.0406069
393,0.0406096
394,0.0406149
395,0.040666
396,0.0406904
397,0.0407017
398,0.0407139
399,0.0407426
400,0.0407484
401,0.0407622
402,0.0407662
403,0.0408
404,0.0408697
405,0.0408718
406,0.040916
407,0.0409605
408,0.0409612
409,0.0409675
410,0.0410602
411,0.0410954
412,0.0411109
413,0.041136
414,0.0411417
415,0.0411494
416,0.0411734
417,0.0412065
418,0.041218
419,0.0412202
420,0.0412252
421,0.0412269
422,0.0412355
423,0.0412389
424,0.0412479
425,0.0413114
426,0.0413198
427,0.0413777
428,0.0413783
429,0.0413875
430,0.0413885
431,0.0414107
432,0.041423
433,0.0414316
434,0.0414469
435,0.0414514
436,0.0414957
437,0.0415399
438,0.0415457
439,0.0415672
440,0.0415708
441,0.0415721
442,0.0415927
443,0.0416103
444,0.0416166
445,0.0416284
446,0.0416656
447,0.0416665
448,0.0416672
449,0.0416672
450,0.0416999
451,0.0417084
452,0.0417119
453,0.0417221
454,0.0417337
455,0.041747
456,0.0417495
457,0.0417604
458,0.041782
459,0.041803
460,0.041809
461,0.0418165
462,0.0418502
463,0.0418719
464,0.0418922
465,0.0419129
466,0.0419133
467,0.0419584
468,0.0419868
469,0.0420019
470,0.0420042
471,0.0420223
472,0.0420226
473,0.0420248
474,0.0420293
475,0.0420356
476,0.0420364
477,0.0420493
478,0.0420778
479,0.0420799
480,0.0420924
481,0.0421094
482,0.0421459
483,0.0421541
484,0.0421697
485,0.0422084
486,0.0422196
487,0.0422559
488,0.0422616
489,0.0422895
490,0.0422921
491,0.042308
492,0.042355
493,0.0423925
494,0.0423942
495,0.0424443
496,0.0424669
497,0.042488
498,0.042532
499,0.0425996
500,0.0426029
501,0.0426201
502,0.0426245
503,0.042643
504,0.0426797
505,0.0426937
506,0.0427057
507,0.0427286
508,0.0427592
509,0.0427618
510,0.0428129
511,0.0428174
512,0.0428606
513,0.0428805
514,0.0428808
515,0.0428818
516,0.0428981
517,0.0429454
518,0.0429975
519,0.0430134
520,0.043036
521,0.043126
522,0.0431448
523,0.043153
524,0.0431774
525,0.0432102
526,0.0432362
527,0.0432443
528,0.0432453
529,0.0432527
530,0.0433056
531,0.0433289
532,0.0433312
533,0.0433323
534,0.0433372
535,0.0433558
536,0.0433579
537,0.0433583
538,0.0433591
539,0.0434111
540,0.0434254
541,0.0434485
542,0.0434711
543,0.0435252
544,0.0435457
545,0.0435623
546,0.0435855
547,0.043615
548,0.0436343
549,0.0436463
550,0.0436583
551,0.0436633
552,0.0436873
