,bufferLength,frameID,stepSize,timestamp_after_image_processed,timestamp_before_image_processed,tracking_metric,velocity
0,2,2,1.0,"07/25/2023, 22:04:31.977262973","07/25/2023, 22:04:31.948384046",0,2.072
1,3,3,1.0,"07/25/2023, 22:04:32.27318000","07/25/2023, 22:04:31.977380990",0,2.068
2,5,4,1.0,"07/25/2023, 22:04:32.70960044","07/25/2023, 22:04:32.27519941",0,2.06
3,6,5,1.0,"07/25/2023, 22:04:32.112541913","07/25/2023, 22:04:32.71177959",0,2.056
4,8,6,1.0,"07/25/2023, 22:04:32.154465913","07/25/2023, 22:04:32.112865924",0,2.048
5,9,7,1.0,"07/25/2023, 22:04:32.201716899","07/25/2023, 22:04:32.154733896",0,2.044
6,11,8,1.0,"07/25/2023, 22:04:32.246588945","07/25/2023, 22:04:32.201930999",0,2.036
7,12,9,1.0,"07/25/2023, 22:04:32.293131113","07/25/2023, 22:04:32.246890068",0,2.032
8,14,10,1.0,"07/25/2023, 22:04:32.339713096","07/25/2023, 22:04:32.293487071",0,2.024
9,16,11,1.0,"07/25/2023, 22:04:32.381385087","07/25/2023, 22:04:32.339909076",0,2.016
10,17,12,1.0,"07/25/2023, 22:04:32.423811912","07/25/2023, 22:04:32.381928920",0,2.012
11,18,13,1.0,"07/25/2023, 22:04:32.464782953","07/25/2023, 22:04:32.424016952",0,2.008
12,20,14,1.0,"07/25/2023, 22:04:32.506728887","07/25/2023, 22:04:32.464967012",0,2.0
13,21,15,1.0,"07/25/2023, 22:04:32.547169923","07/25/2023, 22:04:32.506916999",0,1.996
14,23,16,1.0,"07/25/2023, 22:04:32.592231035","07/25/2023, 22:04:32.547420978",0,1.988
15,24,17,1.0,"07/25/2023, 22:04:32.634224891","07/25/2023, 22:04:32.592411041",0,1.984
16,26,18,1.0,"07/25/2023, 22:04:32.675228118","07/25/2023, 22:04:32.634448051",0,1.976
17,27,19,1.0,"07/25/2023, 22:04:32.714984893","07/25/2023, 22:04:32.675400018",0,1.972
18,28,20,1.0,"07/25/2023, 22:04:32.755256891","07/25/2023, 22:04:32.715255022",0,1.968
19,30,21,1.0,"07/25/2023, 22:04:32.797409057","07/25/2023, 22:04:32.755434989",0,1.96
20,31,22,1.0,"07/25/2023, 22:04:32.835783958","07/25/2023, 22:04:32.797605037",0,1.956
21,33,23,1.0,"07/25/2023, 22:04:32.877285003","07/25/2023, 22:04:32.835943937",0,1.948
22,34,24,1.0,"07/25/2023, 22:04:32.921426057","07/25/2023, 22:04:32.877626895",0,1.944
23,36,25,1.0,"07/25/2023, 22:04:32.967173099","07/25/2023, 22:04:32.921638011",0,1.936
